epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3158.88,1.36953,6.47335,1.2817,0.00054,0.05513,0.00172,0.00118,1.27227,5.58821,1.24388,0.00333323,0.00333323,0.00333323
2,6177.81,1.40896,5.71659,1.37124,0.00211,0.09587,0.00753,0.00503,1.24929,5.0259,1.29939,0.00556658,0.00556658,0.00556658
